,"Credit goes to Felix Just, S.J., Ph.D. for all data below. Find original information and more at: https://catholic-resources.org/Lectionary/",,,,,,,Further Reading Based on the Lectionary. Credit goes to CHResources. See their program here: https://s3.amazonaws.com/chnpublicmedia/bblccc.pdf,,,,
Occasion,1st Reading,Response,2nd Reading,Gospel,Lectionary#,,,1st Reading,Responsorial,2nd Reading,Gospel,Catechism
1st Sunday of Advent,Isa 2:1-5,"Ps 122:1-2, 3-4a, 4b-5, 6-7, 8-9",Rom 13:11-14,Matt 24:37-44,1,,,Isa 1-2,Ps 122,Rom 13,Mt 24:23-44,519-524
"Advent, Week 1, Mon",Isa 4:2-6,"Ps 122:1-2, 3-4b, 4cd-5, 6-7, 8-9",,Matt 8:5-11,175,,,Isa 3-5,,,Mt 8:1-17,2623-2636
"Advent, Week 1, Tues",Isa 11:1-10,"Ps 72:1-2, 7-8, 12-13, 17",,Luke 10:21-24,176,,,Isa 11-13,Ps 72,,Lk 10:1-24,901-907
"Advent, Week 1, Wed",Isa 25:6-10a,"Ps 23:1-3a, 3b-4, 5, 6",,Matt 15:29-37,177,,,Isa 25-27,Ps 23,,Mt 15:21-39,2607-2616
"Advent, Week 1, Thurs",Isa 26:1-6,"Ps 118:1+8-9, 19-21, 25-27a",,"Matt 7:21, 24-27",178,,,Isa 23-24,Ps 118,,Mt 7: 15-29,1996-2005
"Advent, Week 1, Fri",Isa 29:17-24,"Ps 27:1, 4, 13-14",,Matt 9:27-31,179,,,Isa 28-29,Ps 27,,Mt 9: 18-38,1499-1505
"Advent, Week 1, Sat","Isa 30:19-21, 23-26","Ps 147:1-2, 3-4, 5-6",,"Matt 9:35—10:1, 5a, 6-8",180,,,Isa 30-31,Ps 147,,Mt 10:1-23,547-553
2nd Sunday of Advent,Isa 11:1-10,"Ps 72:1-2, 7-8, 12-13, 17",Rom 15:4-9,Matt 3:1-12,4,,,Isa 20-22,,Rom 15,Lk 5: 1-26,203-209
"Advent, Week 2, Mon",Isa 35:1-10,"Ps 85:9ab+10, 11-12, 13-14",,Luke 5:17-26,181,,,,,,,
"Advent, Week 2, Tues",Isa 40:1-11,"Ps 96:1-2, 3+10ac, 11-12, 13",,Matt 18:12-14,182,,,,,,,
"Advent, Week 2, Wed",Isa 40:25-31,"Ps 103:1-2, 3-4, 8+10",,Matt 11:28-30,183,,,,,,,
"Advent, Week 2, Thurs",Isa 41:13-20,"Ps 145:1+9, 10-11, 12-13ab",,Matt 11:11-15,184,,,,,,,
"Advent, Week 2, Fri",Isa 48:17-19,"Ps 1:1-2, 3, 4+6",,Matt 11:16-19,185,,,,,,,
"Advent, Week 2, Sat","Sir 48:1-4, 9-11","Ps 80:2ac+3b, 15-16, 18-19",,"Matt 17:9a, 10-13",186,,,,,,,
3rd Sunday of Advent,"Isa 35:1-6a, 10","Ps 146:6c-7, 8-9a, 9b-10",Jas 5:7-10,Matt 11:2-11,7,,,,,,,
"Advent, Week 3, Mon","Num 24:2-7, 15-17a","Ps 25:4-5ab, 6+7bc, 8-9",,Matt 21:23-27,187,,,,,,,
"Advent, Week 3, Tues","Zeph 3:1-2, 9-13","Ps 34:2-3, 6-7, 17-18, 19+23",,Matt 21:28-32,188,,,,,,,
"Advent, Week 3, Wed","Isa 45:6c-8, 18, 21c-25","Ps 85:9ab+10, 11-12, 13-14",,Luke 7:18b-23,189,,,,,,,
"Advent, Week 3, Thurs",Isa 54:1-10,"Ps 30:2+4, 5-6, 11-12a+13b",,Luke 7:24-30,190,,,,,,,
"Advent, Week 3, Fri","Isa 56:1-3a, 6-8","Ps 67:2-3, 5, 7-8",,John 5:33-36,191,,,,,,,
"Advent, Dec. 17","Gen 49:2, 8-10","Ps 72:1-2, 3-4ab, 7-8, 17",,Matt 1:1-17,193,,,,,,,
4th Sunday of Advent,Isa 7:10-14,"Ps 24:1-2, 3-4, 5-6",Rom 1:1-7,Matt 1:18-24,10,,,,,,,
"Advent, Dec. 18",Jer 23:5-8,"Ps 72:1-2, 12-13, 18-19",,Matt 1:18-25,194,,,,,,,
"Advent, Dec. 19","Judg 13:2-7, 24-25a","Ps 71:3-4a, 5-6ab, 16-17",,Luke 1:5-25,195,,,,,,,
"Advent, Dec. 20",Isa 7:10-14,"Ps 24:1-2, 3-4ab, 5-6",,Luke 1:26-38,196,,,,,,,
"Advent, Dec. 21",Cant 2:8-14 or Zeph 3:14-18a,"Ps 33:2-3, 11-12, 20-21",,Luke 1:39-45,197,,,,,,,
"Advent, Dec. 22",1 Sam 1:24-28,"1 Sam 2:1, 4-5, 6-7, 8abcd",,Luke 1:46-56,198,,,,,,,
"Advent, Dec. 23","Mal 3:1-4, 23-24","Ps 25:4-5ab, 8-9, 10+14",,Luke 1:57-66,199,,,,,,,
